ID PUMS Occupation,PUMS Occupation,Average Wage (2014),Average Wage (2015),Average Wage (2016),Average Wage (2017),Average Wage (2018),Average Wage (2019),Average Wage Appx MOE (2014),Average Wage Appx MOE (2015),Average Wage Appx MOE (2016),Average Wage Appx MOE (2017),Average Wage Appx MOE (2018),Average Wage Appx MOE (2019)
"131111","Management analysts",67359.20914599448,68357.86377529526,72633.24695210629,73583.1103702129,74494.96977030285,78743.10234387917,2024.4978417967675,2098.601398429515,2146.443448133734,2130.0992798019183,2134.108006994775,2107.3018515930635
"131121","Meeting, convention, & event planners",32579.766259859614,33452.38584850833,35871.04611539691,41505.63919513753,39161.94288697069,38726.05215060505,2068.675181523853,2322.4721490189054,2338.9767644048147,2740.124301092414,2628.8595230613964,2296.162902838623
"131131","Fundraisers",47953.44107159494,46168.01125797475,49954.95923739426,53840.68882056872,63516.10861365953,61120.13799217731,3664.959154983337,3837.5167161379604,4053.919458437938,3332.4549845483107,4887.176605524947,4368.321358288577
"131141","Compensation, benefits, & job analysis specialists",46037.98039604675,49056.5812366167,54041.28890354334,56444.74761794434,57744.589727174236,55030.03145402651,3955.7162879647435,4339.8908001108075,5209.25149228022,5505.027244871255,5209.216813723161,4031.5868121067647
"131151","Training & development specialists",47410.056800406695,50536.813824699464,51015.12956291294,53076.08776990108,56901.11919717684,54912.13596675142,2442.019844492843,2579.029974868676,2698.7742324026453,2702.6059111144577,3256.11243207222,2541.142739472565
"131161","Market research analysts & marketing specialists",64519.77173871755,65447.349735069285,69722.14310372328,67994.58555712886,70467.65961155378,68031.57636655755,3024.701690716835,3206.0272573268594,3257.317253169395,3095.2764776642925,3133.0363752717763,3010.7001035610942
"131199","Business operations specialists, all other",56356.48052611006,62187.11506691914,59296.890385677245,60907.76558938742,61464.10217418406,68262.07183181976,2522.9853700003223,2902.903128961314,2613.1612350249125,2602.759991167849,2464.360863752052,2680.49660151026
"132011","Accountants & auditors",58354.13601983119,59229.25250429307,62168.85321231423,63918.17167997503,67584.51131936749,69325.92717657771,1040.795725912164,1077.5980557139537,1102.3818689358388,1113.1837574834508,1187.4991515069107,1332.552985623471
"132020","Property appraisers and assessors",,,,,48461.502698798846,49831.25647682553,,,,,4340.2614102662465,4465.730051477235
"132031","Budget analysts",67228.83501247804,70142.4859580903,65458.73836188737,73530.24378246933,71956.31321430986,76059.84961247773,4608.279897261236,5691.7605312615815,4257.070307424491,4971.150526511384,4631.981081795058,5750.477720598216
"132041","Credit analysts",62011.93566939032,63906.175573739056,60138.42067315261,57908.00900676286,81065.51996406777,74441.34297794932,7380.6314761292015,8165.062553069673,8579.786702230149,6889.612971662748,14235.646236748207,10364.759596862888
"132051","Financial analysts",92531.94827276921,95395.1604428392,99166.97067355097,102508.21060689764,108402.89685211665,105143.77648070508,5145.846995782082,5208.325947073718,5669.858264685803,5660.833642734007,6415.387260908297,5296.753728337339
