,Insitution
975,Trinity College of Nursing & Health Sciences
976,Steven Papageorge Hair Academy
977,MacCormac College
978,MacMurray College
979,McCormick Theological Seminary
980,McHenry County College
981,McKendree University
982,Meadville Lombard Theological School
983,Methodist College
984,Millikin University
985,Monmouth College
986,Moody Bible Institute
987,Moraine Valley Community College
988,Morrison Institute of Technology
989,Morton College
990,Mr John's School of Cosmetology Esthetics & Nails-Decatur
991,National Louis University
992,National University of Health Sciences
993,Cosmetology Concepts Niles
994,North Central College
995,North Park University
996,Northern Baptist Theological Seminary
997,Northern Illinois University
998,Northwestern University
999,Northeastern Illinois University
1000,Oakton Community College
1001,Oehrlein School of Cosmetology
1002,Olivet Nazarene University
1003,Parkland College
1004,Prairie State College
1005,Principia College
1006,Professional's Choice Hair Design Academy
1007,Quincy University
1008,Rend Lake College
1009,Richland Community College
1010,Robert Morris University Illinois
1011,Rock Valley College
1012,Rockford University
1013,Roosevelt University
1014,Dominican University
1015,Rush University
1016,Saint Francis Medical Center College of Nursing
1017,University of St Francis
1018,St. John's College-Department of Nursing
1019,Saint Xavier University
1020,University of Illinois Springfield
1021,Sauk Valley Community College
1022,Shawnee Community College
1023,Saint Augustine College
1024,University of Saint Mary of the Lake
1025,Southeastern Illinois College
1026,National Latino Education Institute
1027,Spertus College
1028,Spoon River College
1029,Saint Anthony College of Nursing
1030,Educators of Beauty College of Cosmetology-Sterling
1031,Southern Illinois University-Carbondale
1032,Southern Illinois University-Edwardsville
1033,Southern Illinois University-System Office
1034,Taylor Business Institute
1035,Telshe Yeshiva-Chicago
1036,South Suburban College
1037,Tri-County Beauty Academy
1038,Trinity Christian College
1039,Trinity International University-Illinois
1040,Triton College
1041,University of Spa & Cosmetology Arts
1042,University of Illinois System Offices
1043,VanderCook College of Music
1044,Waubonsee Community College
1045,Resurrection University
1046,Western Illinois University
1047,Wheaton College
1048,William Rainey Harper College
1049,Ancilla College
1050,Anderson University
1051,Ball State University
1052,Bethel University
1053,Butler University
1054,Calumet College of Saint Joseph
1055,Christian Theological Seminary
1056,College of Court Reporting Inc
1057,Concordia Theological Seminary
1058,Tricoci University of Beauty Culture-Highland
1059,DePauw University
1060,Don Roberts School of Hair Design
1061,Earlham College
1062,University of Evansville
1063,Franklin College
1064,Goshen College
1065,Grace College and Theological Seminary
1066,Hanover College
1067,J Michael Harrold Beauty Academy
1068,Holy Cross College
1069,PJ's College of Cosmetology-Clarksville
1070,Huntington University
1071,Ivy Tech Community College
1072,Purdue University Fort Wayne
1073,Indiana University-Purdue University-Indianapolis
1074,University of Indianapolis
1075,Indiana Institute of Technology
1076,University of Southern Indiana
1077,Indiana State University
1078,Indiana University-Kokomo
1079,Indiana University-South Bend
1080,Indiana University-Bloomington
1081,Indiana University-Northwest
1082,Indiana University-Southeast
1083,Indiana University-East
1084,International Business College-Fort Wayne
1085,International Business College-Indianapolis
1086,Taylor Institute of Cosmetology II
1087,Tricoci University of Beauty Culture-Lafayette
1088,Empire Beauty School-Indianapolis
1089,Lincoln College of Technology-Indianapolis
1090,Manchester University
1091,Marian University
1092,Indiana Wesleyan University-Marion
1093,Martin University
1094,Anabaptist Mennonite Biblical Seminary
1095,Mid-America College of Funeral Service
1096,West Michigan College of Barbering and Beauty
1097,University of Notre Dame
1098,Oakland City University
1099,PJ's College of Cosmetology-Richmond
1100,Ravenscroft Beauty College
